,Name,Price,Location,Category
112,Kigali two houses in compound for sale in big plot on good price,"150,000,000 FRW",N/A,house
113,Kibagabaga nice house for sale in good neighborhood,"280,000,000 FRW",N/A,house
114,Kigali kibagabaga house for sale brand new,"500,000,000 FRW",N/A,house
115,Un furnished house new house for sale in kibagabaga,"420,000,000 FRW",N/A,house
116,Plot/ land for sale at kabuga muyumbo,"8,000,000 FRW",N/A,house
117,Un furnished new house for sale Kibagabaga near pili pili,"350,000,000 FRW",N/A,house
118,Plot for sale kinyinya,"15,000,000 FRW",N/A,land
119,House for sale in gacuriro in good estate,"270,000,000 FRW",N/A,house
120,Un furnished house for rent in Gisozi near fawe girl school,"350,000,000 FRW",N/A,house
121,House for sale in kibagabaga near pili pili,"250,000,000 FRW",N/A,house
122,Plot with old house to be renovated for sale in remera near bk arena,"150,000,000 FRW",N/A,land
123,Plot for sale in gacuriro,"90,000,000 FRW",N/A,land
124,New well un furnished house for sale in kibagabaga,"350,000,000 FRW",N/A,house
125,Big plot for sale in kagugu near landmark hotel,"900,000,000 FRW",N/A,land
126,Un furnished house for sale in kibagabaga on tarmac road,"350,000,000 FRW",N/A,house
127,Two house for sale in compound in kibagabaga,"350,000,000 FRW",N/A,house
128,Gishushu nice full furnished apartment for sale in good neighborhood,"160,000 USD",N/A,apartment
129,Beautiful house for sale in good neighborhood of Kigali kimironko,"300,000,000 FRW",N/A,house
130,Kigali nice new house for sale in good neighborhood,"300,000,000 FRW",N/A,house
131,Kibagabaga new house for sale in good neighborhood,"450,000,000 FRW",N/A,house
132,Plot for sale in kimihurura rugando,"110,000 USD",N/A,land
133,Plot for sale in remera,"160,000,000 FRW",N/A,land
134,Nice new house for sale in kicukiro kagarama in good neighborhood,"165,000,000 FRW",N/A,house
135,Charming Modern Home for Sale ready to move in!,"450,000,000 FRW",N/A,house
136,Nice plot for sale in kimironko kwa masansu church,"45,000,000 FRW",N/A,house
137,Un furnished new house for sale in gacuriro,"250,000,000 FRW",N/A,house
138,Under construction story building for sale in gacuriro,"100,000,000 FRW",N/A,house
139,Nice plot for sale in kicukiro kagarama,FRW,N/A,land
140,Nice big plot for sale in gacuriro near simba center gacuriro,"400,000 USD",N/A,land
141,Nicely lovely new house for sale in kicukiro NIBOYE,"260,000,000 FRW",N/A,house
142,Welcome to your dream home for sale in kicukiro,"250,000,000 FRW",N/A,house
143,Nice plot for sale in VIP neighbourhood of gacuriro,"200,000,000 FRW",N/A,land
144,Plot for sale in kinyinya facing kibagabaga,"34,000,000 FRW",N/A,land
145,Nice house for sale with swimming pool at kicukiro,"300,000,000 FRW",N/A,house
146,Un furnished new house for sale in kimironko,"300,000,000 FRW",N/A,house
147,Hot deal 👌 nice house for sale in gacuriro vision 2020 with golf view,"280,000 USD",N/A,house
148,Un finishes house for sale in kinyinya,"200,000,000 FRW",N/A,house
149,Kibagabaga nice new house for sale in good neighborhood,"350,000,000 FRW",N/A,house
150,Nice house for sale in rebero with nice view,"300,000,000 FRW",N/A,house
151,,"3,000,000 FRW",N/A,land
152,Nice house for  in sale in kibagabaga,"170,000,000 FRW",N/A,house
153,Unfurnished brand new house for sale in kimironko,"165,000,000 FRW",N/A,house
154,Un furnished house for sale in kimironko,"300,000,000 FRW",N/A,house
155,Nice house for sale in kibagabaga,"300,000,000 FRW",N/A,house
